Gene	sgRNA	921|beta	921|z	921|p-value	921|fdr	921|wald-p-value	921|wald-fdr
A1BG	5	0.15245	0.76543	0.60874	0.89558	0.44401	0.72562
A1CF	5	-0.36811	-1.32	0.1334	0.55307	0.18685	0.59478
A2M	5	0.56436	1.5168	0.010552	0.15728	0.12932	0.59288
A2ML1	5	-0.41509	-1.6287	0.097801	0.48459	0.10338	0.59288
A3GALT2	5	0.22927	1.1737	0.38576	0.79541	0.24053	0.61035
A4GALT	5	0.18977	0.80041	0.49767	0.85487	0.42347	0.71267
A4GNT	5	-0.0032664	-0.016506	0.87482	0.97463	0.98683	0.99501
AAAS	4	0.21128	0.98948	0.47651	0.84389	0.32243	0.65375
AACS	5	0.40341	1.4588	0.083916	0.45746	0.14463	0.59288
AADAC	5	0.043903	0.19949	0.97195	0.99607	0.84188	0.93531
AADACL2	5	0.084444	0.27077	0.83694	0.96654	0.78657	0.91139
AADACL3	5	0.10136	0.47161	0.77968	0.9531	0.6372	0.83583
AADACL4	5	0.0034402	0.023376	0.8947	0.97927	0.98135	0.99251
AADAT	5	-0.55341	-2.1691	0.035266	0.30588	0.030075	0.41015
AAED1	5	0.15302	0.73631	0.60696	0.89437	0.46154	0.7357
AAGAB	5	-0.053435	-0.25824	0.71682	0.93319	0.79622	0.91532
AAK1	5	0.19325	1.322	0.48728	0.85011	0.18617	0.59478
AAMDC	5	0.10469	0.38704	0.7668	0.94971	0.69873	0.86774
AAMP	5	-0.88921	-2.89	0.0023326	0.060258	0.003853	0.1166
AANAT	5	0.033384	0.19053	0.9945	0.99944	0.84889	0.93851
AAR2	5	0.078093	0.2972	0.85649	0.96945	0.76632	0.90226
AARD	5	-0.11852	-0.53739	0.53854	0.87238	0.591	0.81076
AARS	5	-1.3478	-3.6876	0	0	0.00022642	0.019696
AARS2	5	-0.10045	-0.64603	0.58769	0.89153	0.51826	0.76794
AARSD1	5	-0.19456	-0.95548	0.37143	0.78525	0.33933	0.66376
AASDH	5	0.042186	0.2478	0.97729	0.9966	0.80429	0.91914
AASDHPPT	5	-0.12436	-0.58246	0.52349	0.8675	0.56026	0.79314
AASS	5	0.2013	0.96041	0.46318	0.83923	0.33685	0.66235
AATF	5	-0.45684	-1.5188	0.073476	0.43249	0.12881	0.59288
AATK	5	0.12282	0.53812	0.70449	0.92781	0.59049	0.81033
ABAT	5	0.24444	1.1992	0.34844	0.77247	0.23045	0.60577
ABCA1	5	0.040947	0.21472	0.98123	0.99763	0.82999	0.93044
ABCA10	5	-0.40958	-1.807	0.10102	0.49057	0.070755	0.59288
ABCA12	5	0.19874	0.61943	0.47034	0.84085	0.53563	0.77804
ABCA13	5	0.31335	1.2927	0.20415	0.64627	0.1961	0.59478
ABCA2	5	0.018533	0.078643	0.94457	0.99103	0.93732	0.97529
ABCA3	5	0.65853	1.6424	0.0020549	0.05506	0.1005	0.59288
ABCA4	5	0.11972	0.55758	0.71515	0.93244	0.57713	0.80337
ABCA5	5	-0.06629	-0.23373	0.68033	0.92078	0.81519	0.92491
ABCA6	5	-0.045736	-0.31678	0.7412	0.94165	0.75141	0.89444
ABCA7	5	0.53051	1.5325	0.017328	0.21153	0.1254	0.59288
ABCA8	5	-0.25251	-1.3547	0.27285	0.71664	0.17551	0.59358
ABCA9	4	0.0384	0.12054	0.98795	0.9991	0.90406	0.95993
ABCB1	5	-0.067879	-0.28647	0.67583	0.91925	0.77452	0.90533
ABCB10	3	0.50498	1.0516	0.080973	0.44931	0.29298	0.63685
ABCB11	5	-0.088091	-0.41008	0.62074	0.89979	0.68175	0.85901
ABCB4	5	0.21266	0.84012	0.43119	0.82193	0.40084	0.69877
ABCB5	5	-0.051938	-0.19572	0.72098	0.93463	0.84483	0.93664
ABCB6	5	0.036459	0.20288	0.99639	0.99944	0.83923	0.93437
ABCB7	5	-0.975	-3.1412	0.00094413	0.030797	0.0016824	0.070285
ABCB8	5	0.62036	1.5699	0.0040542	0.086698	0.11645	0.59288
ABCB9	5	0.6567	1.6039	0.0020549	0.05506	0.10873	0.59288
ABCC1	5	-0.08021	-0.36721	0.6429	0.90677	0.71346	0.87402
ABCC10	5	-0.20849	-1.3959	0.34494	0.77165	0.16274	0.59288
ABCC11	5	0.45668	1.4927	0.046151	0.35002	0.13551	0.59288
ABCC12	5	0.16449	0.90089	0.57253	0.88611	0.36765	0.67751
ABCC2	5	0.1487	0.49022	0.62063	0.89979	0.62398	0.82729
ABCC3	5	0.49295	1.507	0.029046	0.27628	0.13182	0.59288
ABCC4	5	0.65736	1.3529	0.0020549	0.05506	0.1761	0.59372
ABCC5	5	-0.14559	-0.7993	0.47468	0.84332	0.42412	0.71289
ABCC6	10	0.067427	0.46814	0.82656	0.96493	0.63968	0.83754
ABCC8	5	0.3145	1.0907	0.20227	0.64359	0.2754	0.62642
ABCC9	5	0.15022	0.89157	0.61546	0.89769	0.37262	0.68055
ABCD1	5	0.55433	1.6288	0.012274	0.17239	0.10335	0.59288
ABCD2	5	-0.43594	-1.7699	0.084305	0.45806	0.076746	0.59288
ABCD3	5	0.063072	0.24726	0.90642	0.98207	0.80471	0.91917
ABCD4	5	-0.089484	-0.40713	0.61663	0.89852	0.68391	0.85987
ABCE1	5	-2.4831	-4.9982	0	0	5.787e-07	0.00071365
ABCF1	5	-0.94133	-2.9894	0.0013329	0.040336	0.0027957	0.095703
ABCF2	5	-0.42876	-2.201	0.088248	0.46394	0.027734	0.39383
ABCF3	5	0.35768	1.3765	0.13745	0.55949	0.16867	0.59288
ABCG1	5	0.24237	1.0162	0.35372	0.7765	0.30953	0.64673
ABCG2	5	0.18978	1.0104	0.49767	0.85487	0.31228	0.64781
ABCG4	5	0.42302	1.6535	0.068255	0.42037	0.098222	0.59288
ABCG5	5	0.17967	0.86815	0.52849	0.86936	0.38531	0.6892
ABCG8	5	0.25932	1.2538	0.31273	0.74494	0.20991	0.59847
ABHD1	5	-0.051493	-0.25211	0.7227	0.935	0.80096	0.9172
ABHD10	5	-0.0084745	-0.037923	0.85766	0.97018	0.96975	0.98816
ABHD11	5	-0.15901	-0.96963	0.44596	0.83125	0.33223	0.65929
ABHD12	5	0.30146	0.92109	0.22537	0.67062	0.357	0.67269
ABHD12B	5	0.027063	0.11056	0.97373	0.99636	0.91197	0.9631
ABHD13	5	-0.0040139	-0.013026	0.87282	0.97434	0.98961	0.99657
ABHD14A	5	0.18458	0.77512	0.51288	0.86147	0.43827	0.72222
ABHD14B	5	0.19448	0.60582	0.48334	0.84726	0.54464	0.7841
ABHD15	5	0.020764	0.11328	0.95196	0.99191	0.90981	0.96219
ABHD16A	5	-0.0048721	-0.024696	0.86988	0.97358	0.9803	0.99194
ABHD16B	5	0.42551	1.4107	0.066145	0.41542	0.15832	0.59288
ABHD17A	3	-0.32404	-1.0712	0.28041	0.72335	0.28407	0.63192
ABHD17B	5	0.1414	0.5372	0.64473	0.90731	0.59113	0.81076
ABHD17C	5	0.63836	1.3691	0.0031656	0.075397	0.17097	0.59288
ABHD2	5	0.35744	0.8523	0.13773	0.55969	0.39405	0.69447
ABHD3	5	-0.064133	-0.401	0.68622	0.92186	0.68842	0.86321
ABHD4	5	0.4223	1.3724	0.068977	0.42302	0.16994	0.59288
ABHD5	4	0.34076	1.738	0.2071	0.64904	0.082202	0.59288
ABHD6	5	0.53975	1.6026	0.015717	0.19902	0.10903	0.59288
ABHD8	5	0.24893	1.0893	0.33855	0.76708	0.27601	0.62647
ABI1	5	0.14884	0.53941	0.62002	0.89977	0.5896	0.81033
ABI2	5	0.38936	1.3977	0.098134	0.48504	0.16221	0.59288
ABI3	5	0.26851	1.3964	0.29262	0.73259	0.16259	0.59288
ABI3BP	5	-0.024547	-0.11098	0.80751	0.95834	0.91163	0.96287
ABL1	5	0.21219	0.91503	0.4328	0.82318	0.36018	0.67438
ABL2	5	0.44238	1.6331	0.053926	0.37669	0.10245	0.59288
ABLIM1	5	0.26002	0.75705	0.31101	0.74327	0.44902	0.72844
ABLIM2	5	-0.14761	-1.0901	0.47007	0.84085	0.27567	0.62642
ABLIM3	5	0.11015	0.53322	0.74603	0.94239	0.59388	0.81222
ABR	11	-0.037299	-0.27082	0.67539	0.91925	0.78653	0.91139
ABRA	5	-0.22562	-1.0589	0.31517	0.74615	0.28966	0.63511
ABRACL	4	-0.073974	-0.42515	0.68644	0.92186	0.67072	0.8538
ABT1	5	-0.81247	-3.3268	0.0048873	0.099773	0.00087837	0.046402
ABTB1	5	-0.088911	-0.22672	0.61835	0.89922	0.82064	0.92727
ABTB2	5	0.26215	1.1814	0.3064	0.74014	0.23745	0.60944
ACAA1	5	0.4027	1.1582	0.084305	0.45806	0.24678	0.61317
ACAA2	5	0.0069161	0.049975	0.90625	0.98207	0.96014	0.98376
ACACA	5	0.419	1.4314	0.071754	0.42881	0.15233	0.59288
ACACB	5	0.0684	0.4483	0.88859	0.97782	0.65393	0.84438
ACAD10	5	0.1374	0.91537	0.65745	0.91206	0.36	0.67438
ACAD11	5	0.24483	1.1988	0.34772	0.77226	0.23059	0.60577
ACAD8	5	0.15188	0.53528	0.61052	0.896	0.59246	0.8113
ACAD9	5	-0.31834	-1.4764	0.18383	0.62143	0.13984	0.59288
ACADL	5	0.088145	0.42982	0.82445	0.96397	0.66733	0.85201
ACADM	5	0.092648	0.36974	0.80901	0.95892	0.71158	0.87287
ACADS	5	0.21376	1.0523	0.42852	0.82033	0.29264	0.63685
ACADSB	5	0.082794	0.22867	0.84194	0.96768	0.81912	0.92669
ACADVL	5	0.20581	1.1129	0.45107	0.834	0.26576	0.62356
ACAN	5	0.16691	1.0802	0.56542	0.88456	0.28007	0.62872
ACAP1	5	0.48958	1.3746	0.030212	0.28151	0.16924	0.59288
ACAP2	5	-0.28793	-1.0824	0.22148	0.66622	0.27908	0.62835
ACAP3	5	0.066315	0.36811	0.89576	0.97965	0.71279	0.87347
ACAT1	5	-0.29341	-0.98959	0.21426	0.65713	0.32238	0.65375
ACAT2	5	-0.24995	-1.1812	0.27669	0.72057	0.23754	0.60944
ACBD3	5	-0.29771	-1.4705	0.20899	0.65138	0.14142	0.59288
ACBD4	5	0.13133	0.67162	0.67755	0.91925	0.50182	0.75842
ACBD5	4	0.069522	0.27883	0.89387	0.97913	0.78037	0.90895
ACBD6	5	0.029065	0.13331	0.98017	0.99717	0.89395	0.95607
ACBD7	5	-0.50513	-1.7543	0.050539	0.36327	0.079378	0.59288
ACCS	5	0.031964	0.17025	0.99039	0.99933	0.86481	0.94397
ACCSL	5	0.37169	1.1599	0.12018	0.53353	0.24608	0.61284
ACD	5	0.33381	1.378	0.17244	0.60674	0.16821	0.59288
ACE	5	-0.036019	-0.18057	0.7723	0.95025	0.8567	0.94139
ACE2	5	0.46655	1.4748	0.039931	0.32373	0.14027	0.59288
ACER1	5	-0.18112	-0.75707	0.39876	0.80313	0.44901	0.72844
ACER2	5	-0.14617	-0.6384	0.47345	0.84331	0.52322	0.77123
ACER3	5	0.23351	0.75088	0.37554	0.78989	0.45273	0.73017
ACHE	4	0.27055	0.89353	0.33639	0.76506	0.37157	0.68018
ACIN1	5	-0.19892	-1.1215	0.36349	0.78173	0.26207	0.62179
ACKR2	5	0.0033025	0.01264	0.89426	0.9792	0.98992	0.99663
ACKR3	5	0.39424	1.1256	0.092858	0.47581	0.26034	0.62038
ACKR4	5	-0.17618	-0.83594	0.40836	0.80953	0.40319	0.70052
ACLY	5	-0.41919	-1.4048	0.095579	0.48126	0.16008	0.59288
ACMSD	5	0.14856	0.63599	0.6209	0.89979	0.52478	0.77206
ACN9	4	0.20061	0.88554	0.50694	0.85931	0.37587	0.68225
ACO1	5	0.26866	1.2511	0.2924	0.73259	0.2109	0.59847
ACO2	5	-1.45	-3.4726	0	0	0.00051546	0.032839
ACOT1	4	0.65785	1.5175	0.0061091	0.11628	0.12915	0.59288
ACOT11	5	0.13316	0.88757	0.6705	0.91733	0.37477	0.68155
ACOT12	5	-0.27314	-2.1467	0.24186	0.68518	0.031819	0.42252
ACOT13	4	0.031656	0.14619	0.99123	0.99944	0.88377	0.9522
ACOT2	4	0.31441	1.095	0.24992	0.69305	0.27352	0.62642
ACOT4	5	0.20929	0.8837	0.44063	0.82905	0.37686	0.68308
ACOT6	5	0.31774	0.96528	0.19755	0.63884	0.33441	0.66096
ACOT7	5	0.47207	1.585	0.037432	0.3151	0.11297	0.59288
ACOT8	5	0.3881	1.894	0.099189	0.48678	0.058221	0.59288
ACOT9	5	0.13854	0.48311	0.65434	0.91157	0.62902	0.83043
ACOX1	5	0.050796	0.20157	0.94924	0.99188	0.84025	0.93461
ACOX2	5	0.21599	1.3882	0.42208	0.81694	0.16508	0.59288
ACOX3	5	0.20417	0.71325	0.45468	0.83423	0.47569	0.74293
ACOXL	5	-0.13819	-0.727	0.49128	0.85207	0.46722	0.73775
ACP1	10	0.20179	1.2247	0.28913	0.73046	0.22068	0.60119
ACP2	4	-0.070725	-0.31339	0.69532	0.9248	0.75398	0.896
ACP5	5	0.3665	0.86848	0.12674	0.545	0.38513	0.6892
ACP6	5	0.21407	0.88914	0.42752	0.81955	0.37393	0.68076
ACPL2	5	0.10454	0.66849	0.76708	0.94971	0.50382	0.75937
ACPP	5	0.29054	1.3112	0.24636	0.69097	0.18979	0.59478
ACPT	5	-0.1953	-1.2183	0.3706	0.78518	0.22312	0.60194
ACR	5	-0.014776	-0.075417	0.83789	0.9666	0.93988	0.9764
ACRBP	5	0.023206	0.12866	0.95879	0.99237	0.89762	0.95735
ACRC	5	0.18869	0.696	0.50072	0.85598	0.48643	0.74962
ACRV1	5	0.38664	1.3608	0.10108	0.49057	0.17357	0.59314
ACSBG1	5	0.4866	1.587	0.031323	0.28644	0.11252	0.59288
ACSBG2	5	0.2519	0.98612	0.33011	0.75903	0.32408	0.65466
ACSF2	5	-0.11255	-0.50576	0.5542	0.88045	0.61302	0.82166
ACSF3	5	0.50466	1.7489	0.023714	0.24826	0.080305	0.59288
ACSL1	5	0.17628	0.68767	0.53915	0.87286	0.49166	0.75301
ACSL3	5	0.10738	0.52679	0.75669	0.94697	0.59834	0.81459
