Gene	sgRNA	OMM1|beta	OMM1|z	OMM1|p-value	OMM1|fdr	OMM1|wald-p-value	OMM1|wald-fdr
A1BG	5	0.048376	0.33095	0.62418	0.91456	0.74068	0.91479
A1CF	5	-0.078136	-0.28084	0.7046	0.93983	0.77884	0.9275
A2M	5	0.1416	0.90897	0.18827	0.62381	0.36337	0.74681
A2ML1	5	0.10596	0.92863	0.32217	0.76191	0.35308	0.74219
A3GALT2	5	-0.080184	-0.84872	0.69571	0.93731	0.39604	0.76192
A4GALT	5	0.018029	0.20437	0.80123	0.96569	0.83806	0.9476
A4GNT	5	0.044904	0.48024	0.64451	0.9233	0.63106	0.87308
AAAS	4	0.066794	0.7666	0.58342	0.90203	0.44332	0.78598
AACS	5	0.069626	0.44975	0.50672	0.87111	0.65289	0.88216
AADAC	5	0.20247	1.2762	0.053538	0.33449	0.20187	0.66016
AADACL2	5	-0.0073472	-0.056806	0.94319	0.99009	0.9547	0.98608
AADACL3	5	0.0015533	0.013607	0.89392	0.9801	0.98914	0.99723
AADACL4	5	0.094375	0.73126	0.37765	0.80426	0.46462	0.79642
AADAT	5	-0.051219	-0.30397	0.82645	0.96846	0.76115	0.92228
AAED1	5	0.13984	0.81534	0.19405	0.63023	0.41488	0.77268
AAGAB	5	-0.076815	-0.47226	0.7101	0.94201	0.63674	0.87524
AAK1	5	-0.026528	-0.20436	0.95296	0.99151	0.83807	0.9476
AAMDC	5	0.061219	0.54942	0.55187	0.89122	0.58272	0.85312
AAMP	5	-1.135	-3.6173	0.00016661	0.0049505	0.0002977	0.009682
AANAT	5	-0.045678	-0.44604	0.85272	0.9716	0.65557	0.88272
AAR2	5	0.31855	1.4758	0.0023326	0.043614	0.14001	0.62094
AARD	5	0.015915	0.10762	0.81423	0.96728	0.9143	0.974
AARS	5	-2.1367	-5.8595	0	0	4.644e-09	2.0395e-06
AARS2	5	-0.17325	-1.2613	0.38837	0.80844	0.20719	0.66393
AARSD1	5	-0.12784	-1.1423	0.51755	0.87724	0.25333	0.69007
AASDH	5	-0.090312	-0.62714	0.65489	0.92694	0.53057	0.82937
AASDHPPT	5	-0.11302	-0.49351	0.56642	0.89486	0.62165	0.86949
AASS	5	-0.018587	-0.13072	0.99484	0.99967	0.896	0.9681
AATF	5	-0.61768	-2.9711	0.011052	0.13223	0.0029672	0.056418
AATK	5	-0.14776	-0.88029	0.45779	0.84805	0.3787	0.75491
ABAT	5	0.08542	0.74065	0.4223	0.83046	0.45891	0.79396
ABCA1	5	0.023789	0.15839	0.76708	0.95806	0.87415	0.9611
ABCA10	5	0.042928	0.29407	0.65511	0.92694	0.7687	0.92431
ABCA12	5	-0.033024	-0.10113	0.91858	0.98636	0.91945	0.97566
ABCA13	5	0.1906	1.5141	0.071754	0.39914	0.12999	0.60687
ABCA2	5	-0.062569	-0.7411	0.77419	0.9592	0.45863	0.79396
ABCA3	5	0.14524	0.80604	0.17589	0.60439	0.42022	0.77527
ABCA4	5	-0.12233	-1.0563	0.53438	0.88544	0.29081	0.71263
ABCA5	5	-0.01644	-0.066194	0.99445	0.99967	0.94722	0.98413
ABCA6	5	-0.052415	-0.25862	0.82023	0.96811	0.79593	0.93316
