Gene	sgRNA	Mel285|beta	Mel285|z	Mel285|p-value	Mel285|fdr	Mel285|wald-p-value	Mel285|wald-fdr
A1BG	5	-0.10149	-0.8099	0.41114	0.81312	0.418	0.83932
A1CF	5	-0.32625	-1.6072	0.040375	0.34486	0.10801	0.80175
A2M	5	0.24029	1.2034	0.10374	0.52077	0.22882	0.80175
A2ML1	5	0.20453	1.0933	0.17761	0.63474	0.27428	0.81039
A3GALT2	5	0.0025565	0.014147	0.89209	0.97945	0.98871	0.99685
A4GALT	5	0.10553	1.257	0.55254	0.88514	0.20874	0.80175
A4GNT	5	-0.34204	-1.8644	0.033211	0.31227	0.06227	0.80175
AAAS	4	-0.085698	-0.39401	0.50566	0.86706	0.69357	0.91719
AACS	5	-0.012959	-0.064581	0.81056	0.96184	0.94851	0.98899
AADAC	5	0.077181	0.66128	0.69877	0.92897	0.50843	0.86577
AADACL2	5	0.14325	0.6893	0.37615	0.79477	0.49063	0.86122
AADACL3	5	-0.024635	-0.14676	0.74603	0.94247	0.88332	0.96921
AADACL4	5	0.15766	0.90357	0.32334	0.76852	0.36622	0.82994
AADAT	5	-0.034821	-0.1614	0.69605	0.92796	0.87178	0.96622
AAED1	5	0.13125	0.67843	0.42891	0.82575	0.4975	0.86272
AAGAB	5	0.23875	1.1944	0.1063	0.52381	0.23233	0.80175
AAK1	5	-0.038898	-0.26251	0.67666	0.92402	0.79293	0.94678
AAMDC	5	-0.18545	-1.2389	0.18638	0.64551	0.21538	0.80175
AAMP	5	-0.62669	-2.5298	0.00033322	0.013544	0.011412	0.34962
AANAT	5	0.0054293	0.039895	0.90875	0.98394	0.96818	0.9921
AAR2	5	0.18953	0.88667	0.21665	0.6792	0.37525	0.83075
AARD	5	-0.16778	-0.96706	0.22259	0.6857	0.33352	0.82078
AARS	5	-0.79013	-3.0828	0	0	0.0020505	0.15448
AARS2	5	0.244	0.98678	0.097634	0.50795	0.32375	0.81874
AARSD1	5	-0.13052	-1.0747	0.3195	0.76608	0.28251	0.81108
AASDH	5	-0.02448	-0.13683	0.74675	0.94248	0.89116	0.97181
AASDHPPT	5	-0.056835	-0.30523	0.59208	0.90157	0.76019	0.93767
AASS	5	0.22565	0.87958	0.12985	0.56253	0.37908	0.83095
AATF	5	-0.39463	-1.7904	0.016772	0.21916	0.073389	0.80175
AATK	5	0.078268	0.43392	0.69266	0.92715	0.66434	0.90806
ABAT	5	-0.086165	-0.9534	0.46679	0.8466	0.34039	0.82129
ABCA1	5	0.051107	0.28534	0.84455	0.96935	0.77538	0.9416
ABCA10	5	0.14801	0.72135	0.35755	0.78528	0.47069	0.85239
ABCA12	5	-0.071337	-0.45025	0.5241	0.87397	0.65253	0.90589
ABCA13	5	0.08071	0.39389	0.68027	0.92424	0.69366	0.91724
ABCA2	5	-0.11842	-0.87094	0.35583	0.78494	0.38379	0.83285
ABCA3	5	0.30966	1.6256	0.02949	0.29176	0.10404	0.80175
ABCA4	5	-0.12717	-0.79302	0.32995	0.77186	0.42777	0.84007
ABCA5	5	0.067193	0.40774	0.75469	0.94368	0.68346	0.91257
ABCA6	5	-0.038727	-0.17956	0.67722	0.92402	0.8575	0.96253
ABCA7	5	0.24753	1.3296	0.091247	0.48928	0.18366	0.80175
ABCA8	5	0.21478	0.89913	0.15373	0.60463	0.36859	0.82994
ABCA9	4	0.26905	0.97226	0.096801	0.50507	0.33092	0.82011
ABCB1	5	-0.23718	-1.6161	0.10552	0.52255	0.10606	0.80175
ABCB10	3	0.30856	1.2429	0.093413	0.49587	0.21389	0.80175
ABCB11	5	0.022956	0.11213	0.99917	0.99967	0.91072	0.97755
ABCB4	5	-0.032726	-0.1834	0.70649	0.93078	0.85449	0.9618
ABCB5	5	0.11951	0.59218	0.48417	0.85605	0.55373	0.87429
ABCB6	5	-0.011563	-0.08678	0.81767	0.96323	0.93085	0.9826
ABCB7	5	-0.26674	-1.5655	0.076197	0.45657	0.11746	0.80175
ABCB8	5	0.32933	1.4875	0.01966	0.24098	0.13687	0.80175
ABCB9	5	0.099147	0.77083	0.58503	0.89965	0.44081	0.84322
ABCC1	5	0.0060138	0.035414	0.91164	0.98488	0.97175	0.99264
ABCC10	5	0.072906	0.35433	0.72259	0.93423	0.72309	0.92834
ABCC11	5	0.25847	1.6692	0.075475	0.45497	0.095071	0.80175
ABCC12	5	0.10455	0.54142	0.55737	0.88747	0.58822	0.8839
ABCC2	5	0.31869	1.2709	0.024103	0.26638	0.20377	0.80175
ABCC3	5	0.35713	1.3884	0.010385	0.16607	0.16501	0.80175
ABCC4	5	0.304	1.2047	0.033378	0.31286	0.22834	0.80175
ABCC5	5	-0.24299	-1.2122	0.099134	0.51	0.22545	0.80175
ABCC6	10	0.008292	0.070035	0.91059	0.98486	0.94417	0.9873
ABCC8	5	0.17353	0.9378	0.26736	0.72562	0.34835	0.82419
ABCC9	5	0.02245	0.13209	0.99806	0.99905	0.89491	0.97314
ABCD1	5	0.052344	0.38932	0.83744	0.96865	0.69704	0.91834
ABCD2	5	0.12259	0.39021	0.46945	0.84857	0.69638	0.91813
ABCD3	5	-0.087138	-0.35139	0.46407	0.84551	0.72529	0.929
ABCD4	5	-0.13816	-0.76815	0.29568	0.74842	0.4424	0.84388
ABCE1	5	-1.1378	-3.6364	0	0	0.00027652	0.060538
ABCF1	5	-0.50776	-1.9893	0.0035544	0.082902	0.046671	0.73264
ABCF2	5	0.1359	0.68659	0.40853	0.81212	0.49234	0.86187
ABCF3	5	0.13689	0.91711	0.40398	0.80948	0.35908	0.82439
ABCG1	5	0.43976	1.4548	0.0017772	0.051364	0.14574	0.80175
ABCG2	5	0.0074783	0.044582	0.91897	0.98612	0.96444	0.99163
ABCG4	5	0.14774	0.87693	0.35838	0.78528	0.38052	0.83095
ABCG5	5	0.03733	0.23825	0.92447	0.9876	0.81169	0.95237
ABCG8	5	0.1843	1.0508	0.23326	0.69703	0.29334	0.81417
ABHD1	5	0.082739	0.58752	0.66905	0.92274	0.55686	0.87429
ABHD10	5	0.04638	0.23914	0.87204	0.97505	0.811	0.95237
ABHD11	5	-0.075609	-0.56544	0.50716	0.86806	0.57178	0.87754
ABHD12	5	0.043248	0.24432	0.8897	0.97895	0.80698	0.9513
ABHD12B	5	0.12698	0.64713	0.44763	0.8366	0.51754	0.86648
ABHD13	5	-0.053545	-0.28053	0.60813	0.90675	0.77907	0.94295
ABHD14A	5	0.097031	0.58673	0.59508	0.9027	0.55739	0.87429
ABHD14B	5	0.18319	1.1263	0.23598	0.6989	0.26005	0.8058
ABHD15	5	-0.14098	-1.0219	0.28868	0.74183	0.30683	0.81705
ABHD16A	5	0.12283	0.83351	0.46807	0.84746	0.40456	0.83589
ABHD16B	5	0.15877	1.0797	0.31973	0.76617	0.28028	0.81083
ABHD17A	3	0.066513	0.44978	0.82156	0.96415	0.65287	0.90594
ABHD17B	5	-0.16561	-0.79932	0.22709	0.69106	0.4241	0.83968
ABHD17C	5	0.040135	0.2573	0.90814	0.98393	0.79694	0.94816
ABHD2	5	0.23475	1.5862	0.11324	0.53403	0.1127	0.80175
ABHD3	5	0.092893	0.46689	0.61602	0.90815	0.64058	0.9034
ABHD4	5	0.25649	1.2121	0.078418	0.4631	0.22547	0.80175
ABHD5	4	0.056634	0.26756	0.83383	0.96772	0.78904	0.94599
ABHD6	5	0.054637	0.40571	0.82434	0.96484	0.68495	0.9133
ABHD8	5	0.1354	0.94018	0.41036	0.81262	0.34712	0.82419
ABI1	5	0.064671	0.45071	0.76808	0.94726	0.6522	0.90589
ABI2	5	-0.059592	-0.42623	0.57864	0.89753	0.66994	0.90884
ABI3	5	0.12452	0.70939	0.45962	0.84286	0.47808	0.85629
ABI3BP	5	-0.12353	-0.84865	0.34078	0.779	0.39607	0.83586
ABL1	5	0.080719	0.71099	0.68022	0.92424	0.47709	0.85629
ABL2	5	0.35727	1.7202	0.010385	0.16607	0.08539	0.80175
ABLIM1	5	0.17299	0.84632	0.26924	0.72594	0.39737	0.83586
ABLIM2	5	0.22787	1.1222	0.12596	0.55412	0.26177	0.80682
ABLIM3	5	-0.046478	-0.22401	0.64301	0.91685	0.82275	0.95507
ABR	11	0.030929	0.35498	0.90392	0.98262	0.72261	0.92815
ABRA	5	-0.11902	-0.80446	0.35422	0.78494	0.42113	0.83932
ABRACL	4	0.37581	1.1041	0.016161	0.21524	0.26953	0.80895
ABT1	5	-0.51114	-2.3759	0.0034433	0.081794	0.017505	0.4427
ABTB1	5	0.040004	0.20973	0.90853	0.98394	0.83388	0.95806
ABTB2	5	-0.087607	-0.55159	0.46246	0.84478	0.58123	0.88206
ACAA1	5	0.29759	1.1683	0.037932	0.33399	0.24267	0.80175
ACAA2	5	-0.023057	-0.20105	0.75469	0.94368	0.84066	0.95977
ACACA	5	-0.26119	-1.4539	0.081306	0.47036	0.14598	0.80175
ACACB	5	0.098862	0.6908	0.58625	0.9003	0.48969	0.86116
ACAD10	5	-0.029412	-0.18573	0.7222	0.9342	0.85266	0.96176
ACAD11	5	0.10402	0.78622	0.55981	0.88881	0.43174	0.8406
ACAD8	5	-0.1268	-0.88131	0.33106	0.77225	0.37815	0.83095
ACAD9	5	0.05611	0.40749	0.81606	0.96228	0.68365	0.91261
ACADL	5	0.033718	0.15676	0.94502	0.99068	0.87543	0.96753
ACADM	5	0.087651	0.57255	0.6454	0.91705	0.56695	0.87702
ACADS	5	0.026618	0.16693	0.98062	0.99568	0.86742	0.96521
ACADSB	5	0.0029989	0.011431	0.89448	0.97998	0.99088	0.99753
ACADVL	5	0.14235	1.0764	0.37971	0.7966	0.28176	0.81083
ACAN	5	-0.033151	-0.30456	0.7041	0.93	0.7607	0.93794
ACAP1	5	0.39663	1.6838	0.0042208	0.092233	0.092222	0.80175
ACAP2	5	-0.099167	-0.54552	0.41869	0.81786	0.58539	0.88287
ACAP3	5	0.16545	0.9453	0.29451	0.74711	0.34451	0.82419
ACAT1	5	-0.18218	-0.8806	0.19305	0.65449	0.37853	0.83095
ACAT2	5	0.23939	1.03	0.10535	0.52255	0.30299	0.81688
ACBD3	5	-0.096056	-0.53299	0.43108	0.82696	0.59404	0.88515
ACBD4	5	-0.0092433	-0.054693	0.83022	0.96651	0.95638	0.99059
ACBD5	4	0.12513	0.59401	0.51583	0.87163	0.55251	0.87415
ACBD6	5	0.22501	1.4017	0.13118	0.56474	0.16101	0.80175
ACBD7	5	0.07998	0.31704	0.68455	0.92547	0.75122	0.93445
ACCS	5	-0.12627	-0.64154	0.33222	0.77307	0.52117	0.8675
ACCSL	5	0.0091909	0.051076	0.92808	0.98788	0.95927	0.99082
ACD	5	0.052629	0.32746	0.83589	0.96847	0.74332	0.93348
ACE	5	0.0047962	0.029277	0.90498	0.98269	0.97664	0.99355
ACE2	5	0.18029	1.2226	0.24481	0.70948	0.22147	0.80175
ACER1	5	-0.24688	-1.5216	0.094802	0.49898	0.1281	0.80175
ACER2	5	-0.087282	-0.42089	0.46357	0.84551	0.67384	0.90966
ACER3	5	0.044862	0.22707	0.88087	0.97668	0.82037	0.955
ACHE	4	-0.087569	-0.80233	0.49944	0.86406	0.42236	0.83938
ACIN1	5	-0.21156	-1.4201	0.14118	0.58343	0.15559	0.80175
ACKR2	5	0.044838	0.25821	0.88104	0.97668	0.79625	0.94779
ACKR3	5	-0.0989	-0.50039	0.41997	0.81881	0.6168	0.89427
ACKR4	5	-0.068174	-0.39531	0.53788	0.87886	0.69262	0.91666
ACLY	5	0.030116	0.20272	0.96262	0.99298	0.83935	0.95935
ACMSD	5	-0.036004	-0.31115	0.68966	0.92609	0.75569	0.93562
ACN9	4	0.035643	0.19613	0.94058	0.98908	0.84451	0.96083
ACO1	5	-0.059676	-0.43211	0.57831	0.89752	0.66566	0.90825
ACO2	5	-0.085696	-0.63333	0.46934	0.84857	0.52652	0.86917
ACOT1	4	0.35983	1.3739	0.022604	0.25858	0.16949	0.80175
ACOT11	5	0.19165	1.1414	0.21049	0.67181	0.2537	0.80412
ACOT12	5	-0.16774	-1.2275	0.2227	0.6857	0.21962	0.80175
ACOT13	4	0.21611	1.0166	0.20032	0.66269	0.30936	0.81715
ACOT2	4	0.050848	0.41899	0.86749	0.97364	0.67523	0.91004
ACOT4	5	0.10868	0.56296	0.53715	0.87885	0.57347	0.8782
ACOT6	5	0.088688	0.49926	0.6399	0.91561	0.61759	0.89427
ACOT7	5	0.35636	1.2851	0.010552	0.16754	0.19876	0.80175
ACOT8	5	0.047498	0.26198	0.86438	0.97281	0.79334	0.94696
ACOT9	5	0.16196	0.66407	0.30684	0.75533	0.50665	0.86553
ACOX1	5	-0.018918	-0.12834	0.77691	0.95028	0.89788	0.97367
ACOX2	5	-0.095386	-0.58999	0.43347	0.82766	0.5552	0.87429
ACOX3	5	0.31921	1.5681	0.02377	0.26469	0.11685	0.80175
ACOXL	5	-0.31715	-1.9233	0.044207	0.36067	0.054445	0.77558
ACP1	10	0.10209	0.79383	0.40997	0.81255	0.4273	0.84006
ACP2	4	-0.087866	-0.55943	0.49889	0.86406	0.57587	0.87909
ACP5	5	0.037225	0.22374	0.92491	0.98763	0.82296	0.95515
ACP6	5	0.27768	1.0219	0.054871	0.40163	0.30681	0.81705
ACPL2	5	0.067184	0.38211	0.75469	0.94368	0.70238	0.91996
ACPP	5	0.21026	1.2292	0.16333	0.61729	0.21901	0.80175
ACPT	5	0.062864	0.53151	0.77807	0.95084	0.59507	0.88544
ACR	5	-0.18637	-1.0933	0.18422	0.64197	0.27427	0.81039
ACRBP	5	0.10897	0.54833	0.53577	0.87881	0.58346	0.88225
ACRC	5	0.41069	1.9327	0.0033322	0.080214	0.053271	0.77168
ACRV1	5	0.24324	1.7199	0.098634	0.50917	0.085442	0.80175
ACSBG1	5	0.1586	1.2895	0.32017	0.76632	0.19721	0.80175
ACSBG2	5	0.19878	0.84546	0.19121	0.65249	0.39785	0.83589
ACSF2	5	-0.049487	-0.43513	0.62785	0.91269	0.66347	0.90806
ACSF3	5	0.29925	1.2268	0.037099	0.33218	0.2199	0.80175
ACSL1	5	0.11264	0.5764	0.51794	0.87163	0.56435	0.87626
ACSL3	5	0.10592	1.1767	0.55015	0.8836	0.23932	0.80175
ACSL4	5	-0.23185	-1.0901	0.1113	0.5305	0.27567	0.81039
ACSL5	5	-0.28205	-1.4488	0.063979	0.4235	0.14739	0.80175
ACSL6	5	0.13935	0.8205	0.39331	0.8024	0.41193	0.83808
ACSM1	4	0.11312	0.5296	0.56798	0.89313	0.59639	0.88609
ACSM2A	5	0.060691	0.38457	0.79013	0.95426	0.70056	0.91926
ACSM2B	4	0.17959	0.91025	0.30179	0.75176	0.36269	0.82666
ACSM3	5	0.013045	0.067691	0.94668	0.99125	0.94603	0.98795
ACSM4	5	-0.048198	-0.46237	0.63373	0.91464	0.64382	0.90383
ACSM5	5	-0.057011	-0.45364	0.59136	0.90153	0.65009	0.90575
ACSS1	5	0.1499	0.77119	0.35177	0.78494	0.44059	0.84314
ACSS2	5	-0.10874	-1.0331	0.38515	0.79846	0.30155	0.81655
ACSS3	5	0.017037	0.11955	0.96768	0.99322	0.90484	0.97547
ACTA1	5	0.06035	0.5397	0.79218	0.95527	0.58941	0.8839
ACTA2	5	-0.099694	-0.65129	0.41708	0.81686	0.51486	0.86608
ACTB	4	-0.38399	-1.8358	0.033156	0.31224	0.066387	0.80175
ACTBL2	5	0.018791	0.14701	0.97773	0.99548	0.88312	0.96907
ACTC1	5	0.057016	0.35026	0.81167	0.96199	0.72614	0.9293
ACTG1	5	-0.37658	-1.7582	0.021271	0.24967	0.07871	0.80175
ACTG2	6	-0.011659	-0.10012	0.80484	0.95974	0.92025	0.98081
ACTL10	5	0.14515	1.1735	0.36915	0.79096	0.24061	0.80175
ACTL6A	5	-0.64604	-3.2974	0.00022215	0.0093023	0.00097588	0.1078
ACTL6B	5	0.3094	1.5157	0.029601	0.29254	0.12959	0.80175
ACTL7A	5	-0.011887	-0.082462	0.81567	0.96228	0.93428	0.98372
ACTL7B	5	0.11606	0.96964	0.501	0.86493	0.33222	0.82023
ACTL8	5	0.28536	1.3305	0.046818	0.36925	0.18336	0.80175
ACTL9	5	0.302	1.5691	0.034489	0.3183	0.11663	0.80175
ACTN1	5	0.044667	0.42511	0.8816	0.97668	0.67076	0.90893
ACTN2	5	0.086807	0.63217	0.64917	0.91794	0.52728	0.86917
ACTN4	5	0.32839	1.471	0.020104	0.24279	0.1413	0.80175
ACTR10	5	-0.37597	-1.5904	0.021437	0.25098	0.11175	0.80175
ACTR1A	5	-0.17387	-1.2751	0.20971	0.6717	0.20229	0.80175
ACTR1B	5	-0.18553	-1.1147	0.18594	0.64459	0.26497	0.80788
ACTR2	5	-0.87889	-2.3009	0	0	0.021399	0.49733
ACTR3	5	-0.9907	-2.9424	0	0	0.003257	0.18183
ACTR3B	5	0.19551	1.1257	0.20049	0.66269	0.26028	0.8058
ACTR3C	5	-0.1099	-0.69403	0.38265	0.79806	0.48766	0.86002
ACTR5	5	-0.076305	-0.62443	0.50422	0.86567	0.53234	0.87068
ACTR6	5	0.33956	0.80883	0.015939	0.21402	0.41861	0.83932
ACTR8	5	-0.31972	-2.1591	0.043041	0.35518	0.030846	0.59376
ACTRT1	5	0.11283	0.43664	0.51711	0.87163	0.66237	0.90798
ACTRT2	5	0.32418	1.6765	0.021771	0.25339	0.093642	0.80175
ACTRT3	5	0.01825	0.10604	0.97451	0.99536	0.91555	0.97963
ACVR1	5	0.14906	1.0165	0.35422	0.78494	0.30941	0.81715
ACVR1B	5	-0.14789	-0.77801	0.27108	0.72786	0.43656	0.84236
ACVR1C	5	0.033333	0.23592	0.94713	0.99125	0.81349	0.95257
ACVR2A	5	-0.25037	-1.144	0.09097	0.48866	0.25261	0.80376
ACVR2B	5	-0.0025062	-0.022105	0.86654	0.97348	0.98236	0.99524
ACVRL1	5	0.075118	0.74872	0.71071	0.93231	0.45402	0.84763
ACY1	5	-0.054174	-0.30421	0.60508	0.90588	0.76097	0.93798
ACY3	5	-0.085802	-0.73746	0.46862	0.84795	0.46084	0.85017
ACYP1	5	0.21226	1.4647	0.15878	0.61176	0.14302	0.80175
ACYP2	5	0.0028262	0.017436	0.89354	0.9799	0.98609	0.99685
ADA	5	-0.10883	-0.67422	0.38509	0.79846	0.50017	0.86369
ADAD1	5	0.14885	0.5655	0.35521	0.78494	0.57173	0.87754
ADAD2	5	0.24806	1.4458	0.08997	0.48649	0.14823	0.80175
ADAL	5	0.12242	0.55269	0.47018	0.84865	0.58048	0.88179
ADAM10	5	0.15604	0.54109	0.32872	0.77063	0.58845	0.8839
ADAM11	5	-0.17344	-0.96208	0.21049	0.67181	0.33601	0.82078
ADAM12	5	0.050275	0.33285	0.84916	0.97005	0.73925	0.93262
ADAM15	5	0.035221	0.27043	0.93585	0.9887	0.78683	0.94516
ADAM17	5	0.25157	1.0446	0.084805	0.47601	0.29619	0.81494
ADAM18	4	0.54429	0.99223	0.00099967	0.033708	0.32109	0.81874
ADAM19	5	0.015859	0.16079	0.96151	0.99298	0.87226	0.96634
ADAM2	5	0.13554	0.66787	0.40992	0.81253	0.50422	0.86503
ADAM20	5	-0.044793	-0.34244	0.64967	0.91813	0.73202	0.9315
ADAM21	5	0.08268	0.23621	0.66922	0.92274	0.81327	0.95249
ADAM22	5	0.03218	0.29068	0.95302	0.99168	0.7713	0.94085
ADAM23	5	0.058657	0.42029	0.80207	0.95947	0.67427	0.90984
ADAM28	5	0.09741	0.54801	0.59308	0.90165	0.58368	0.88236
ADAM29	5	0.13416	0.6771	0.41592	0.81681	0.49834	0.86272
ADAM30	5	-0.038392	-0.28882	0.67861	0.92413	0.77272	0.94104
