CHR	startp	endp	n.sgRNAs	avg.logFC	guideIdx
1	871254	23520615	1317	-0.0414	1, 1317
1	23645056	23689723	10	-0.3127	1318, 1327
1	23735160	24020337	22	-0.0428	1328, 1349
1	24020351	24105204	10	-0.6008	1350, 1359
1	24106377	26751873	232	-0.0786	1360, 1591
1	26764677	26800640	7	-0.7583	1592, 1598
1	26873384	33234267	448	-0.0873	1599, 2046
1	33252645	33276587	5	-0.9086	2047, 2051
1	33291991	35578903	122	-0.0589	2052, 2173
1	35657023	35657959	2	-1.9149	2174, 2175
1	35657964	36074913	24	-0.1801	2176, 2199
1	36074935	36096947	4	-1.2537	2200, 2203
1	36181583	109714566	2252	-0.1327	2204, 4455
1	109772097	109794133	7	-1.1581	4456, 4462
1	109795312	109898015	17	-0.1315	4463, 4479
1	109953699	109954804	4	-1.092	4480, 4483
1	109955697	145508934	619	-0.1457	4484, 5102
1	145518192	151372198	364	-0.0745	5103, 5466
1	151372484	151372631	3	-1.2315	5467, 5469
1	151372654	160253369	1072	-0.0402	5470, 6541
1	160269028	160303447	5	-1.1307	6542, 6546
1	160318816	249212038	2756	-0.0431	6547, 9302
2	46045	10220249	167	-0.0551	9303, 9469
2	10263116	10267281	5	-1.0931	9470, 9474
2	10282406	27530672	472	-0.0562	9475, 9946
2	27535422	45826636	507	-0.1217	9947, 10453
2	45879371	46574097	6	-1.2904	10454, 10459
2	46574148	198570907	3175	-0.1322	10460, 13634
2	198622094	217285095	461	-0.0697	13635, 14095
2	217364084	217364712	3	-1.28	14096, 14098
2	217498464	242814479	989	-0.0333	14099, 15087
3	369847	49141104	1469	-0.0551	15088, 16556
3	49141372	49141885	3	-1.2133	16557, 16559
3	49153340	69351543	806	-0.0615	16560, 17365
3	69988310	70008484	5	-1.5685	17366, 17370
3	71064775	101298691	251	-0.0455	17371, 17621
3	101298702	101476581	16	-0.5817	17622, 17637
3	101476580	113380081	221	-0.0259	17638, 17858
3	113442267	113634660	13	-0.5289	17859, 17871
3	113649557	127642833	451	-0.0624	17872, 18322
3	127774511	127779510	5	-1.1066	18323, 18327
3	127819504	128853003	61	-0.077	18328, 18388
3	128853012	128976601	14	-0.5773	18389, 18402
3	128979562	133362960	148	-0.0231	18403, 18550
3	133374230	133376678	2	-1.0977	18551, 18552
3	133467334	139069067	175	-0.0652	18553, 18727
3	139088193	139098275	5	-1.2865	18728, 18732
3	139180943	197707217	1443	-0.0448	18733, 20175
4	265908	190876209	3471	-0.0496	20176, 23646
5	143220	43277428	642	-0.0362	23647, 24288
5	43297189	43298981	5	-1.1048	24289, 24293
5	43382098	112174650	1081	-0.0986	24294, 25374
5	112198245	112200367	6	-1.119	25375, 25380
5	112238142	180687573	2368	-0.0547	25381, 27748
6	311927	26017864	603	-0.0605	27749, 28351
6	26020827	27839999	288	-0.229	28352, 28639
6	27841065	36492229	1074	-0.0526	28640, 29713
6	36564656	36566718	4	-1.3166	29714, 29717
6	36651970	36652121	5	0.9035	29718, 29722
6	36742736	170115861	2897	-6e-4	29723, 32619
6	170117972	170118994	2	-2.6518	32620, 32621
6	170144158	170893598	42	-0.1456	32622, 32663
7	193329	19184900	469	-0.0451	32664, 33132
7	19739884	19748403	4	-1.0118	33133, 33136
7	19748436	42950287	553	-0.0474	33137, 33689
7	42964272	42966225	4	-1.3393	33690, 33693
7	42966979	158902568	3036	-0.0532	33694, 36729
8	193783	20066989	376	0.0132	36730, 37105
8	20067909	20069232	4	-1.2564	37106, 37109
8	20110656	42401736	701	-0.0382	37110, 37810
8	42401727	146278539	1998	-0.1305	37811, 39808
9	117370	33034253	507	0.0076	39809, 40315
9	33060535	33071746	5	-1.1011	40316, 40320
9	33135269	35044242	172	-0.0093	40321, 40492
9	35061671	35067921	5	-0.9588	40493, 40497
9	35076763	80144175	449	-0.0634	40498, 40946
9	80412523	80537171	5	-1.3178	40947, 40951
9	80851398	140919541	2331	-0.0652	40952, 43282
10	93862	12252333	224	-0.0391	43283, 43506
10	12257752	12257834	3	-1.3909	43507, 43509
10	12259435	135439049	3285	-0.0251	43510, 46794
11	193748	205983	15	-0.0135	46795, 46809
11	209284	209863	3	-1.1855	46810, 46812
11	210581	244189	8	-0.0103	46813, 46820
11	244421	247406	4	-0.8586	46821, 46824
11	279432	2997273	338	-0.016	46825, 47162
11	3050268	3062157	5	-1.2101	47163, 47167
11	3125475	8496329	289	-0.0445	47168, 47456
11	8705551	8706440	5	-1.045	47457, 47461
11	8736212	9335878	48	-0.0808	47462, 47509
11	9424874	9519288	10	-0.5134	47510, 47519
11	9598087	9598767	4	-1.3145	47520, 47523
