Gene	sgRNA	Mel270|beta	Mel270|z	Mel270|p-value	Mel270|fdr	Mel270|wald-p-value	Mel270|wald-fdr
A1BG	5	-0.16108	-1.0643	0.41525	0.80588	0.28721	0.63261
A1CF	5	-0.18331	-0.74772	0.35894	0.7689	0.45463	0.73821
A2M	5	0.27044	1.4105	0.017439	0.18108	0.1584	0.54437
A2ML1	5	0.0073055	0.057623	0.86771	0.9687	0.95405	0.98348
A3GALT2	5	-0.015801	-0.1564	0.99378	0.99816	0.87571	0.95075
A4GALT	5	-0.072868	-0.76588	0.72592	0.9229	0.44375	0.73093
A4GNT	5	0.16981	0.98484	0.14528	0.55246	0.3247	0.65608
AAAS	4	0.0154	0.11502	0.86566	0.9682	0.90843	0.9654
AACS	5	0.11964	0.81863	0.30273	0.72352	0.413	0.71162
AADAC	5	0.16975	1.2952	0.14556	0.55295	0.19527	0.57248
AADACL2	5	-0.18975	-1.0855	0.34483	0.76012	0.2777	0.62746
AADACL3	5	0.034264	0.33984	0.71948	0.92115	0.73398	0.88709
AADACL4	5	0.17084	1.5037	0.14206	0.54701	0.13265	0.52696
AADAT	5	0.093867	0.64983	0.41436	0.80511	0.5158	0.77332
AAED1	5	0.25926	1.3157	0.023159	0.21707	0.18828	0.56752
AAGAB	5	0.053092	0.37289	0.61691	0.88695	0.70923	0.87468
AAK1	5	-0.052917	-0.44809	0.81634	0.95448	0.65409	0.84643
AAMDC	5	0.21719	1.5864	0.060258	0.37414	0.11266	0.50604
AAMP	5	-1.2063	-4.0877	0.00011107	0.004386	4.3571e-05	0.0025282
AANAT	5	-0.06225	-0.59774	0.77213	0.93977	0.55001	0.79026
AAR2	5	0.11047	0.86394	0.34366	0.75917	0.38762	0.69606
AARD	5	-0.1175	-1.0763	0.55259	0.86469	0.2818	0.6299
AARS	5	-2.2279	-5.316	0	0	1.0609e-07	3.9798e-05
AARS2	5	0.02396	0.12242	0.77824	0.94135	0.90256	0.96271
AARSD1	5	-0.31521	-2.2359	0.13512	0.53668	0.025358	0.27194
AASDH	5	-0.11651	-1.0185	0.55581	0.86619	0.30844	0.64654
AASDHPPT	5	0.09478	0.68003	0.41014	0.80246	0.49649	0.76161
AASS	5	-0.25513	-1.813	0.21282	0.64039	0.069826	0.44935
